Path,Extension,Role,Bytes,Lines
ide/uxminima-vscode/snippets/uxm.code-snippets,.code-snippets,other,2016,
ide/uxminima-vscode/src/README.md,.md,document,672,23
ide/uxminima-vscode/src/diagnostics.ts,.ts,vscode_ts_source,5189,119
ide/uxminima-vscode/src/extension.ts,.ts,vscode_ts_source,10778,237
ide/uxminima-vscode/src/metaServices.ts,.ts,vscode_ts_source,12222,124
ide/uxminima-vscode/src/toolchain.ts,.ts,vscode_ts_source,9885,234
ide/uxminima-vscode/src/traceReader.ts,.ts,vscode_ts_source,1782,78
ide/uxminima-vscode/src/uxmInterpreter.ts,.ts,vscode_ts_source,57901,1235
ide/uxminima-vscode/src/views/README.md,.md,document,556,18
ide/uxminima-vscode/src/views/memoryView.ts,.ts,vscode_ts_source,7177,134
ide/uxminima-vscode/syntaxes/README.md,.md,document,561,18
ide/uxminima-vscode/syntaxes/uxm.tmLanguage.json,.json,other,2687,90
ide/uxminima-vscode/tools/README.md,.md,document,558,18
ide/uxminima-vscode/tools/README_TOOLCHAIN.md,.md,document,363,21
ide/uxminima-vscode/tools/build_final_compiler.bat,.bat,build_script,386,10
ide/uxminima-vscode/tsconfig.json,.json,other,291,14
ide/uxminima-vscode/uxminima-vscode-0.1.0.vsix,.vsix,other,64130,
ide/uxminima-vscode/uxminima-vscode-0.2.0.vsix,.vsix,other,87300,
legacy/duplicates/BELGE_KOPYALARI/uX_Minima_Kullanim Klavuzu.md,.md,document,26911,1342
legacy/duplicates/BELGE_KOPYALARI/ux_minima_IDE_vscode.md,.md,document,10400,321
legacy/duplicates/BELGE_KOPYALARI/ux_minima_full v31.md,.md,document,155210,4769
legacy/duplicates/BELGE_KOPYALARI/ux_minimax_ide_tasarimi_dusuncesi.md,.md,document,11057,406
legacy/duplicates/compiler/uxm31_compiler_fb.bas,.bas,freebasic_source,55396,1502
legacy/duplicates/ide/uxminima-vscode/tools/uxm31_compiler_final.bas,.bas,freebasic_source,64466,1066
legacy/duplicates/runtime/uxm31_runtime_fb_full.bas,.bas,freebasic_source,33072,1245
legacy/duplicates/tools/uxm31_full_tool_fb.bas,.bas,freebasic_source,57331,1552
lib/README.md,.md,document,531,18
lib/ux_fp_v1.uxm,.uxm,uxm_test_or_program,319,22
lib/ux_mat_v1.uxm,.uxm,uxm_test_or_program,485,32
lib/ux_math_v1.uxm,.uxm,uxm_test_or_program,253,13
math_extensions/README.md,.md,document,630,22
math_extensions/compiler/README.md,.md,document,567,18
math_extensions/compiler/arge_parse_math_additions.bas,.bas,freebasic_source,4900,155
math_extensions/compiler/arge_parse_matrix_additions.bas,.bas,freebasic_source,6106,190
math_extensions/docs/README.md,.md,document,556,18
math_extensions/docs/UXM_MATH_EXTENSIONS.md,.md,document,1568,82
math_extensions/lib/README.md,.md,document,547,18
math_extensions/lib/ux_mat_v1.uxm,.uxm,uxm_test_or_program,485,32
math_extensions/lib/ux_math_v1.uxm,.uxm,uxm_test_or_program,253,13
math_extensions/runtime/README.md,.md,document,562,18
math_extensions/runtime/runtime_math_services.bas,.bas,freebasic_source,11900,371
math_extensions/runtime/runtime_matrix_services.bas,.bas,freebasic_source,17553,579
math_extensions/tests_math/README.md,.md,document,816,24
math_extensions/tests_math/test_math01_poly_deriv_arge.uxm,.uxm,uxm_test_or_program,135,9
math_extensions/tests_math/test_math02_poly_integral_arge.uxm,.uxm,uxm_test_or_program,154,10
math_extensions/tests_math/test_math03_poly_eval_arge.uxm,.uxm,uxm_test_or_program,143,9
math_extensions/tests_math/test_math04_expr_rpn_eval.uxm,.uxm,uxm_test_or_program,178,9
